trade_num,side,exit_type,net_pnl,strike,expiry,spot_r,spot_p,bid_entry,ask_entry,mark_entry,delta_p,delta_r
148,Short put,ask,261.73,100000.0,27JUN25,107149.0,107309.0,0.0049,0.0055,0.0052,0.144,0.15
149,Short call,ask,434.92,112000.0,27JUN25,105440.0,105558.0,0.005,0.0055,0.0052,0.168,0.15
150,Short call,ask,115.0,114000.0,4JUL25,104912.0,105064.0,0.0055,0.006,0.0059,0.152,0.15
151,Short call,ask,135.94,113000.0,4JUL25,104562.0,104710.0,0.0055,0.006,0.0058,0.157,0.15
152,Short call,ask,22.14,111000.0,4JUL25,103443.0,103488.0,0.0055,0.006,0.0058,0.164,0.15
153,Short call,ask,-53.5,111000.0,4JUL25,102892.0,102988.0,0.005,0.006,0.0057,0.157,0.15
154,Short put,ask,511.31,99000.0,4JUL25,105471.0,105559.0,0.0055,0.006,0.0058,0.16,0.15
155,Short put,ask,354.79,100000.0,4JUL25,106295.0,106359.0,0.0041,0.0045,0.0043,0.141,0.15
156,Short put,ask,384.53,100000.0,11JUL25,107701.0,107855.0,0.006,0.007,0.0064,0.154,0.15
157,Short put,ask,351.52,100000.0,11JUL25,107365.0,107516.0,0.0055,0.006,0.0056,0.147,0.15
158,Short put,ask,288.07,101000.0,11JUL25,107363.0,107466.0,0.0055,0.0065,0.006,0.165,0.15
159,Short put,ask,310.44,100000.0,11JUL25,107358.0,107463.0,0.005,0.0055,0.0051,0.141,0.15
160,Short put,ask,378.42,102000.0,11JUL25,108328.0,108486.0,0.0055,0.006,0.0058,0.164,0.15
161,Short put,ask,352.29,101000.0,11JUL25,106973.0,107071.0,0.0044,0.0048,0.0046,0.149,0.15
162,Short put,ask,345.95,101000.0,11JUL25,106660.0,106740.0,0.0039,0.0043,0.0041,0.145,0.15
163,Short call,ask,148.36,120000.0,18JUL25,109389.0,109644.0,0.0047,0.0055,0.0051,0.133,0.15
164,Short put,ask,485.99,104000.0,25JUL25,111146.0,111472.0,0.006,0.007,0.0064,0.162,0.15
165,Short call,ask,2.76,130000.0,25JUL25,117886.0,118301.0,0.0038,0.0041,0.0038,0.11,0.15
166,Short call,ask,294.12,126000.0,25JUL25,117762.0,118089.0,0.0055,0.006,0.006,0.173,0.15
167,Short put,ask,283.56,110000.0,25JUL25,117843.0,118152.0,0.005,0.0055,0.0052,0.143,0.15
168,Short put,ask,478.09,109000.0,25JUL25,117343.0,117641.0,0.0055,0.0065,0.006,0.148,0.15
169,Short put,ask,380.42,111000.0,25JUL25,117881.0,118113.0,0.0041,0.0044,0.0042,0.138,0.15
