combo_idx,trade_idx,open_idx,ts,event,contract,side,qty,price_btc,amount_btc,fee_btc,spot,amount_usd,fee_usd,balance_usd,exit_reason,status
445,16,15,2025-07-24 08:00:00+00:00,close,BTC-24JUL25-122000-C,buy,10.3,0.0,-0.0,0.0,118365.93,-0.0,0.0,102496.17,expiry,0
445,16,15,2025-07-24 08:00:00+00:00,close,BTC-24JUL25-115000-P,buy,10.3,0.0,-0.0,0.0,118365.93,-0.0,0.0,102496.17,expiry,0
445,17,17,2025-07-24 20:00:00+00:00,open,BTC-25JUL25-123000-C,sell,10.3,0.0002,0.0020599999,0.000214652,118955.11,245.04752,25.53395,102715.69,,0
445,17,17,2025-07-24 20:00:00+00:00,open,BTC-25JUL25-115000-P,sell,10.3,0.0003,0.0030900002,0.000321978,118955.11,367.57132,38.30093,103044.96,,0
445,18,17,2025-07-25 08:00:00+00:00,close,BTC-25JUL25-123000-C,buy,10.3,0.0,-0.0,0.0,115543.32,-0.0,0.0,103044.96,expiry,0
445,18,17,2025-07-25 08:00:00+00:00,close,BTC-25JUL25-115000-P,buy,10.3,0.0,-0.0,0.0,115543.32,-0.0,0.0,103044.96,expiry,0
445,19,19,2025-08-07 20:00:00+00:00,open,BTC-8AUG25-121000-C,sell,10.5,0.0003,0.0031500002,0.00032823,117542.8,370.25983,38.581074,103376.64,,0
445,19,19,2025-08-07 20:00:00+00:00,open,BTC-8AUG25-114000-P,sell,10.5,0.0003,0.0031500002,0.00032823,117542.8,370.25983,38.581074,103708.32,,0
445,20,19,2025-08-08 08:00:00+00:00,close,BTC-8AUG25-121000-C,buy,10.5,0.0,-0.0,0.0,116800.52,-0.0,0.0,103708.32,expiry,0
445,20,19,2025-08-08 08:00:00+00:00,close,BTC-8AUG25-114000-P,buy,10.5,0.0,-0.0,0.0,116800.52,-0.0,0.0,103708.32,expiry,0
445,21,21,2025-08-12 20:00:00+00:00,open,BTC-13AUG25-123000-C,sell,10.4,1e-04,0.00104,0.000108367996,119615.56,124.400185,12.962499,103819.76,,0
445,21,21,2025-08-12 20:00:00+00:00,open,BTC-13AUG25-116000-P,sell,10.4,1e-04,0.00104,0.000108367996,119615.56,124.400185,12.962499,103931.195,,0
445,22,21,2025-08-13 08:00:00+00:00,close,BTC-13AUG25-123000-C,buy,10.4,0.0,-0.0,0.0,119523.81,-0.0,0.0,103931.195,expiry,0
445,22,21,2025-08-13 08:00:00+00:00,close,BTC-13AUG25-116000-P,buy,10.4,0.0,-0.0,0.0,119523.81,-0.0,0.0,103931.195,expiry,0
445,23,23,2025-08-18 20:00:00+00:00,open,BTC-19AUG25-120000-C,sell,10.7,1e-04,0.00107,0.000111493995,116379.71,124.52629,12.975639,104042.74,,0
445,23,23,2025-08-18 20:00:00+00:00,open,BTC-19AUG25-113000-P,sell,10.7,1e-04,0.00107,0.000111493995,116379.71,124.52629,12.975639,104154.3,,0
445,24,23,2025-08-19 08:00:00+00:00,close,BTC-19AUG25-120000-C,buy,10.7,0.0,-0.0,0.0,115011.6,-0.0,0.0,104154.3,expiry,0
445,24,23,2025-08-19 08:00:00+00:00,close,BTC-19AUG25-113000-P,buy,10.7,0.0,-0.0,0.0,115011.6,-0.0,0.0,104154.3,expiry,0
445,25,25,2025-08-19 23:05:00+00:00,open,BTC-20AUG25-116000-C,sell,11.1,1e-04,0.00111,0.000115662,112982.32,125.41037,13.06776,104266.63,,0
445,25,25,2025-08-19 23:05:00+00:00,open,BTC-20AUG25-110000-P,sell,11.1,0.0003,0.0033300002,0.00034698602,112982.32,376.23114,39.203285,104603.664,,0
445,26,25,2025-08-20 08:00:00+00:00,close,BTC-20AUG25-116000-C,buy,11.1,0.0,-0.0,0.0,113420.94,-0.0,0.0,104603.664,expiry,0
445,26,25,2025-08-20 08:00:00+00:00,close,BTC-20AUG25-110000-P,buy,11.1,0.0,-0.0,0.0,113420.94,-0.0,0.0,104603.664,expiry,0
445,27,27,2025-08-20 21:00:00+00:00,open,BTC-21AUG25-118000-C,sell,11.0,1e-04,0.0011,0.000114619994,114402.81,125.843094,13.11285,104716.39,,0
445,27,27,2025-08-20 21:00:00+00:00,open,BTC-21AUG25-111000-P,sell,11.0,1e-04,0.0011,0.000114619994,114402.81,125.843094,13.11285,104829.125,,0
445,28,27,2025-08-21 08:00:00+00:00,close,BTC-21AUG25-118000-C,buy,11.0,0.0,-0.0,0.0,113900.95,-0.0,0.0,104829.125,expiry,0
445,28,27,2025-08-21 08:00:00+00:00,close,BTC-21AUG25-111000-P,buy,11.0,0.0,-0.0,0.0,113900.95,-0.0,0.0,104829.125,expiry,0
445,29,29,2025-08-21 22:00:00+00:00,open,BTC-22AUG25-116000-C,sell,11.2,1e-04,0.0011199999,0.000116703995,112525.47,126.02852,13.132172,104942.02,,0
445,29,29,2025-08-21 22:00:00+00:00,open,BTC-22AUG25-109000-P,sell,11.2,0.0002,0.0022399998,0.00023340799,112525.47,252.05704,26.264343,105167.81,,0
445,30,29,2025-08-22 08:00:00+00:00,close,BTC-22AUG25-116000-C,buy,11.2,0.0,-0.0,0.0,113038.03,-0.0,0.0,105167.81,expiry,0
445,30,29,2025-08-22 08:00:00+00:00,close,BTC-22AUG25-109000-P,buy,11.2,0.0,-0.0,0.0,113038.03,-0.0,0.0,105167.81,expiry,0
445,31,31,2025-08-26 21:05:00+00:00,open,BTC-27AUG25-115000-C,sell,11.3,1e-04,0.00113,0.000117746,111272.48,125.73789,13.101889,105280.45,,0
445,31,31,2025-08-26 21:05:00+00:00,open,BTC-27AUG25-108000-P,sell,11.3,0.0002,0.00226,0.000235492,111272.48,251.47578,26.203777,105505.72,,0
445,32,31,2025-08-27 08:00:00+00:00,close,BTC-27AUG25-115000-C,buy,11.3,0.0,-0.0,0.0,110798.58,-0.0,0.0,105505.72,expiry,0
445,32,31,2025-08-27 08:00:00+00:00,close,BTC-27AUG25-108000-P,buy,11.3,0.0,-0.0,0.0,110798.58,-0.0,0.0,105505.72,expiry,0
445,33,33,2025-08-28 20:00:00+00:00,open,BTC-29AUG25-115000-C,sell,11.3,0.0003,0.0033900002,0.00035323802,111891.14,379.31097,39.524204,105845.51,,0
445,33,33,2025-08-28 20:00:00+00:00,open,BTC-29AUG25-108000-P,sell,11.3,0.0002,0.00226,0.000235492,111891.14,252.87398,26.349468,106072.03,,0
445,34,33,2025-08-29 08:00:00+00:00,close,BTC-29AUG25-115000-C,buy,11.3,0.0,-0.0,0.0,110191.95,-0.0,0.0,106072.03,expiry,0
445,34,33,2025-08-29 08:00:00+00:00,close,BTC-29AUG25-108000-P,buy,11.3,0.0,-0.0,0.0,110191.95,-0.0,0.0,106072.03,expiry,0
445,35,35,2025-09-01 21:30:00+00:00,open,BTC-2SEP25-111000-C,sell,11.8,1e-04,0.00118,0.000122956,108038.72,127.48569,13.284008,106186.234,,0
445,35,35,2025-09-01 21:30:00+00:00,open,BTC-2SEP25-105000-P,sell,11.8,1e-04,0.00118,0.000122956,108038.72,127.48569,13.284008,106300.44,,0
445,36,35,2025-09-02 08:00:00+00:00,close,BTC-2SEP25-111000-C,buy,11.8,0.0,-0.0,0.0,110253.16,-0.0,0.0,106300.44,expiry,0
445,36,35,2025-09-02 08:00:00+00:00,close,BTC-2SEP25-105000-P,buy,11.8,0.0,-0.0,0.0,110253.16,-0.0,0.0,106300.44,expiry,0
445,37,37,2025-09-02 20:00:00+00:00,open,BTC-3SEP25-114000-C,sell,11.5,1e-04,0.00115,0.000119829994,110748.67,127.36097,13.271013,106414.52,,0
445,37,37,2025-09-02 20:00:00+00:00,open,BTC-3SEP25-107000-P,sell,11.5,1e-04,0.00115,0.000119829994,110748.67,127.36097,13.271013,106528.62,,0
445,38,37,2025-09-03 08:00:00+00:00,close,BTC-3SEP25-114000-C,buy,11.5,0.0,-0.0,0.0,111106.16,-0.0,0.0,106528.62,expiry,0
445,38,37,2025-09-03 08:00:00+00:00,close,BTC-3SEP25-107000-P,buy,11.5,0.0,-0.0,0.0,111106.16,-0.0,0.0,106528.62,expiry,0
445,39,39,2025-09-04 20:00:00+00:00,open,BTC-5SEP25-113000-C,sell,11.6,1e-04,0.00116,0.000120872,109959.4,127.5529,13.291012,106642.875,,0
445,39,39,2025-09-04 20:00:00+00:00,open,BTC-5SEP25-107000-P,sell,11.6,0.0002,0.00232,0.000241744,109959.4,255.1058,26.582024,106871.4,,0
445,40,39,2025-09-05 08:00:00+00:00,close,BTC-5SEP25-113000-C,buy,11.6,0.0,-0.0,0.0,112966.21,-0.0,0.0,106871.4,expiry,0
445,40,39,2025-09-05 08:00:00+00:00,close,BTC-5SEP25-107000-P,buy,11.6,0.0,-0.0,0.0,112966.21,-0.0,0.0,106871.4,expiry,0
445,41,41,2025-09-11 23:50:00+00:00,open,BTC-12SEP25-119000-C,sell,11.1,1e-04,0.00111,0.000115662,115465.29,128.16647,13.354946,106986.21,,0
445,41,41,2025-09-11 23:50:00+00:00,open,BTC-12SEP25-112000-P,sell,11.1,0.0002,0.00222,0.000231324,115465.29,256.33295,26.709892,107215.836,,0
445,42,41,2025-09-12 08:00:00+00:00,close,BTC-12SEP25-119000-C,buy,11.1,0.0,-0.0,0.0,115152.76,-0.0,0.0,107215.836,expiry,0
445,42,41,2025-09-12 08:00:00+00:00,close,BTC-12SEP25-112000-P,buy,11.1,0.0,-0.0,0.0,115152.76,-0.0,0.0,107215.836,expiry,0
445,43,43,2025-09-16 21:00:00+00:00,open,BTC-17SEP25-120000-C,sell,11.0,0.0003,0.0033000002,0.00034386,116883.16,385.71445,40.191444,107561.36,,0
445,43,43,2025-09-16 21:00:00+00:00,open,BTC-17SEP25-113000-P,sell,11.0,1e-04,0.0011,0.000114619994,116883.16,128.57147,13.397147,107676.53,,0
445,44,43,2025-09-17 08:00:00+00:00,close,BTC-17SEP25-120000-C,buy,11.0,0.0,-0.0,0.0,117222.28,-0.0,0.0,107676.53,expiry,0
445,44,43,2025-09-17 08:00:00+00:00,close,BTC-17SEP25-113000-P,buy,11.0,0.0,-0.0,0.0,117222.28,-0.0,0.0,107676.53,expiry,0
445,45,45,2025-09-18 20:10:00+00:00,open,BTC-19SEP25-121000-C,sell,11.0,1e-04,0.0011,0.000114619994,117554.74,129.31021,13.474124,107792.37,,0
445,45,45,2025-09-18 20:10:00+00:00,open,BTC-19SEP25-114000-P,sell,11.0,1e-04,0.0011,0.000114619994,117554.74,129.31021,13.474124,107908.2,,0
445,46,45,2025-09-19 08:00:00+00:00,close,BTC-19SEP25-121000-C,buy,11.0,0.0,-0.0,0.0,116963.64,-0.0,0.0,107908.2,expiry,0
