combo_idx,trade_idx,open_idx,ts,event,contract,side,qty,price_btc,amount_btc,fee_btc,spot,amount_usd,fee_usd,balance_usd,exit_reason,comment,status
0,225,225,2025-08-29 16:30:00+00:00,open,BTC-30AUG25-106000-P,sell,6.5,0.0005,0.00325,0.00033865002,108647.04,353.1029,36.79332,118082.97,,,0
0,226,225,2025-08-30 08:00:00+00:00,close,BTC-30AUG25-112000-C,buy,6.5,0.0,-0.0,0.0,108510.29,-0.0,0.0,118082.97,expiry,,0
0,226,225,2025-08-30 08:00:00+00:00,close,BTC-30AUG25-106000-P,buy,6.5,0.0,-0.0,0.0,108510.29,-0.0,0.0,118082.97,expiry,,0
0,227,227,2025-09-01 20:45:00+00:00,open,BTC-2SEP25-111000-C,sell,6.5,1e-04,0.00065,6.773e-05,108300.96,70.39562,7.3352237,118146.03,,,0
0,227,227,2025-09-01 20:45:00+00:00,open,BTC-2SEP25-105000-P,sell,6.5,1e-04,0.00065,6.773e-05,108300.96,70.39562,7.3352237,118209.086,,,0
0,228,227,2025-09-02 08:00:00+00:00,close,BTC-2SEP25-111000-C,buy,6.5,0.0,-0.0,0.0,110253.16,-0.0,0.0,118209.086,expiry,,0
0,228,227,2025-09-02 08:00:00+00:00,close,BTC-2SEP25-105000-P,buy,6.5,0.0,-0.0,0.0,110253.16,-0.0,0.0,118209.086,expiry,,0
0,229,229,2025-09-02 18:00:00+00:00,open,BTC-3SEP25-114000-C,sell,6.4,1e-04,0.00064,6.6688e-05,110904.89,70.979126,7.396025,118272.67,,,0
0,229,229,2025-09-02 18:00:00+00:00,open,BTC-3SEP25-108000-P,sell,6.4,0.0003,0.0019200001,0.00020006401,110904.89,212.9374,22.188078,118463.42,,,0
0,230,229,2025-09-03 08:00:00+00:00,close,BTC-3SEP25-114000-C,buy,6.4,0.0,-0.0,0.0,111106.16,-0.0,0.0,118463.42,expiry,,0
0,230,229,2025-09-03 08:00:00+00:00,close,BTC-3SEP25-108000-P,buy,6.4,0.0,-0.0,0.0,111106.16,-0.0,0.0,118463.42,expiry,,0
0,231,231,2025-09-03 18:00:00+00:00,open,BTC-4SEP25-116000-C,sell,6.3,1e-04,0.00062999997,6.5645996e-05,112326.86,70.76592,7.373809,118526.81,,,0
0,231,231,2025-09-03 18:00:00+00:00,open,BTC-4SEP25-109000-P,sell,6.3,0.0002,0.0012599999,0.00013129199,112326.86,141.53185,14.747618,118653.59,,,0
0,232,231,2025-09-04 08:00:00+00:00,close,BTC-4SEP25-116000-C,buy,6.3,0.0,-0.0,0.0,110460.28,-0.0,0.0,118653.59,expiry,,0
