combo_idx,trade_idx,open_idx,ts,event,contract,side,qty,price_btc,amount_btc,fee_btc,spot,amount_usd,fee_usd,balance_usd,exit_reason,status
57,71,71,2025-09-22 17:00:00+00:00,open,BTC-23SEP25-116000-C,sell,11.6,1e-04,0.00116,0.000120872,112706.97,130.74008,13.6231165,114311.836,,0
57,71,71,2025-09-22 17:00:00+00:00,open,BTC-23SEP25-108000-P,sell,11.6,0.0006,0.0069600004,0.000725232,112706.97,784.44055,81.7387,115014.54,,0
57,72,71,2025-09-23 08:00:00+00:00,close,BTC-23SEP25-116000-C,buy,11.6,0.0,-0.0,0.0,113121.31,-0.0,0.0,115014.54,expiry,0
57,72,71,2025-09-23 08:00:00+00:00,close,BTC-23SEP25-108000-P,buy,11.6,0.0,-0.0,0.0,113121.31,-0.0,0.0,115014.54,expiry,0
57,73,73,2025-09-25 23:00:00+00:00,open,BTC-26SEP25-113000-C,sell,12.6,1e-04,0.0012599999,0.00013129199,109468.3,137.93005,14.372312,115138.1,,0
57,73,73,2025-09-25 23:00:00+00:00,open,BTC-26SEP25-106000-P,sell,12.6,0.0003,0.0037800001,0.00039387602,109468.3,413.7902,43.116936,115508.77,,0
57,74,73,2025-09-26 08:00:00+00:00,close,BTC-26SEP25-113000-C,buy,12.6,0.0,-0.0,0.0,109462.41,-0.0,0.0,115508.77,expiry,0
57,74,73,2025-09-26 08:00:00+00:00,close,BTC-26SEP25-106000-P,buy,12.6,0.0,-0.0,0.0,109462.41,-0.0,0.0,115508.77,expiry,0
57,75,75,2025-10-01 20:00:00+00:00,open,BTC-2OCT25-121000-C,sell,11.8,1e-04,0.00118,0.000122956,117402.82,138.53532,14.435381,115632.875,,0
57,75,75,2025-10-01 20:00:00+00:00,open,BTC-2OCT25-114000-P,sell,11.8,1e-04,0.00118,0.000122956,117402.82,138.53532,14.435381,115756.97,,0
57,76,75,2025-10-02 08:00:00+00:00,close,BTC-2OCT25-121000-C,buy,11.8,0.0,-0.0,0.0,118621.84,-0.0,0.0,115756.97,expiry,0
57,76,75,2025-10-02 08:00:00+00:00,close,BTC-2OCT25-114000-P,buy,11.8,0.0,-0.0,0.0,118621.84,-0.0,0.0,115756.97,expiry,0
57,77,77,2025-10-02 22:00:00+00:00,open,BTC-3OCT25-124000-C,sell,11.6,1e-04,0.00116,0.000120872,120256.27,139.49727,14.535616,115881.93,,0
57,77,77,2025-10-02 22:00:00+00:00,open,BTC-3OCT25-117000-P,sell,11.6,1e-04,0.00116,0.000120872,120256.27,139.49727,14.535616,116006.9,,0
57,78,77,2025-10-03 08:00:00+00:00,close,BTC-3OCT25-124000-C,buy,11.6,0.0,-0.0,0.0,119767.06,-0.0,0.0,116006.9,expiry,0
57,78,77,2025-10-03 08:00:00+00:00,close,BTC-3OCT25-117000-P,buy,11.6,0.0,-0.0,0.0,119767.06,-0.0,0.0,116006.9,expiry,0
57,79,79,2025-10-06 22:00:00+00:00,open,BTC-7OCT25-129000-C,sell,11.1,0.0002,0.00222,0.000231324,125250.45,278.056,28.973434,116255.98,,0
57,79,79,2025-10-06 22:00:00+00:00,open,BTC-7OCT25-121000-P,sell,11.1,1e-04,0.00111,0.000115662,125250.45,139.028,14.486717,116380.516,,0
57,80,79,2025-10-07 08:00:00+00:00,close,BTC-7OCT25-129000-C,buy,11.1,0.0,-0.0,0.0,123677.39,-0.0,0.0,116380.516,expiry,0
57,80,79,2025-10-07 08:00:00+00:00,close,BTC-7OCT25-121000-P,buy,11.1,0.0,-0.0,0.0,123677.39,-0.0,0.0,116380.516,expiry,0
57,81,81,2025-10-08 22:25:00+00:00,open,BTC-9OCT25-127000-C,sell,11.3,1e-04,0.00113,0.000117746,123335.67,139.36931,14.522282,116505.37,,0
57,81,81,2025-10-08 22:25:00+00:00,open,BTC-9OCT25-120000-P,sell,11.3,1e-04,0.00113,0.000117746,123335.67,139.36931,14.522282,116630.21,,0
57,82,81,2025-10-09 08:00:00+00:00,close,BTC-9OCT25-127000-C,buy,11.3,0.0,-0.0,0.0,121933.99,-0.0,0.0,116630.21,expiry,0
57,82,81,2025-10-09 08:00:00+00:00,close,BTC-9OCT25-120000-P,buy,11.3,0.0,-0.0,0.0,121933.99,-0.0,0.0,116630.21,expiry,0
57,83,83,2025-10-09 20:00:00+00:00,open,BTC-10OCT25-125000-C,sell,11.6,0.0004,0.00464,0.000483488,121074.43,561.78534,58.538033,117133.46,,0
57,83,83,2025-10-09 20:00:00+00:00,open,BTC-10OCT25-117000-P,sell,11.6,0.0002,0.00232,0.000241744,121074.43,280.89267,29.269016,117385.086,,0
57,84,83,2025-10-10 08:00:00+00:00,close,BTC-10OCT25-125000-C,buy,11.6,0.0,-0.0,0.0,120995.65,-0.0,0.0,117385.086,expiry,0
57,84,83,2025-10-10 08:00:00+00:00,close,BTC-10OCT25-117000-P,buy,11.6,0.0,-0.0,0.0,120995.65,-0.0,0.0,117385.086,expiry,0
57,85,85,2025-10-13 22:00:00+00:00,open,BTC-14OCT25-119000-C,sell,11.6,0.0004,0.00464,0.000483488,115823.65,537.4217,55.999344,117866.51,,0
57,85,85,2025-10-13 22:00:00+00:00,open,BTC-14OCT25-112000-P,sell,11.6,0.0003,0.0034800002,0.000362616,115823.65,403.0663,41.99951,118227.57,,0
57,86,85,2025-10-14 08:00:00+00:00,close,BTC-14OCT25-119000-C,buy,11.6,0.0,-0.0,0.0,111825.93,-0.0,0.0,118227.57,expiry,0
57,86,85,2025-10-14 08:00:00+00:00,close,BTC-14OCT25-112000-P,buy,11.6,0.0015566185,-0.018056775,0.0,111825.93,-2019.2156,0.0,116208.36,expiry,0
57,87,87,2025-10-14 22:00:00+00:00,open,BTC-15OCT25-117000-C,sell,11.7,0.0002,0.00234,0.00024382799,113326.4,265.18378,27.632149,116445.91,,0
57,87,87,2025-10-14 22:00:00+00:00,open,BTC-15OCT25-110000-P,sell,11.7,0.0005,0.0058500003,0.00060957,113326.4,662.9595,69.080376,117039.79,,0
57,88,87,2025-10-15 08:00:00+00:00,close,BTC-15OCT25-117000-C,buy,11.7,0.0,-0.0,0.0,112607.78,-0.0,0.0,117039.79,expiry,0
57,88,87,2025-10-15 08:00:00+00:00,close,BTC-15OCT25-110000-P,buy,11.7,0.0,-0.0,0.0,112607.78,-0.0,0.0,117039.79,expiry,0
57,89,89,2025-10-15 19:00:00+00:00,open,BTC-16OCT25-115000-C,sell,8.4,0.0002,0.00168,0.00017505599,111392.18,187.13885,19.499868,117207.43,,0
57,89,89,2025-10-15 19:00:00+00:00,open,BTC-16OCT25-108000-P,sell,8.4,0.0008,0.00672,0.00070022396,111392.18,748.5554,77.99947,117877.984,,0
57,90,89,2025-10-16 08:00:00+00:00,close,BTC-16OCT25-115000-C,buy,8.4,0.0,-0.0,0.0,110537.52,-0.0,0.0,117877.984,expiry,0
57,90,89,2025-10-16 08:00:00+00:00,close,BTC-16OCT25-108000-P,buy,8.4,0.0,-0.0,0.0,110537.52,-0.0,0.0,117877.984,expiry,0
57,91,91,2025-10-16 22:00:00+00:00,open,BTC-17OCT25-112000-C,sell,7.2,0.0003,0.0021600001,0.00022507201,108439.55,234.22943,24.406708,118087.805,,0
57,91,91,2025-10-16 22:00:00+00:00,open,BTC-17OCT25-105000-P,sell,7.2,0.0009,0.00648,0.00067521597,108439.55,702.68823,73.220116,118717.27,,0
57,92,91,2025-10-17 08:00:00+00:00,close,BTC-17OCT25-112000-C,buy,7.2,0.0,-0.0,0.0,105563.97,-0.0,0.0,118717.27,expiry,0
57,92,91,2025-10-17 08:00:00+00:00,close,BTC-17OCT25-105000-P,buy,7.2,0.0,-0.0,0.0,105563.97,-0.0,0.0,118717.27,expiry,0
57,93,93,2025-10-20 17:00:00+00:00,open,BTC-21OCT25-114000-C,sell,9.5,0.0003,0.00285,0.00029697,110788.83,315.74817,32.90096,119000.12,,0
57,93,93,2025-10-20 17:00:00+00:00,open,BTC-21OCT25-107000-P,sell,9.5,0.0006,0.0057,0.00059394,110788.83,631.49634,65.80192,119565.81,,0
57,94,93,2025-10-21 08:00:00+00:00,close,BTC-21OCT25-114000-C,buy,9.5,0.0,-0.0,0.0,108074.21,-0.0,0.0,119565.81,expiry,0
57,94,93,2025-10-21 08:00:00+00:00,close,BTC-21OCT25-107000-P,buy,9.5,0.0,-0.0,0.0,108074.21,-0.0,0.0,119565.81,expiry,0
57,95,95,2025-10-22 18:00:00+00:00,open,BTC-23OCT25-111000-C,sell,4.9,0.0006,0.00294,0.00030634803,107837.76,317.04303,33.035885,119849.82,,0
57,95,95,2025-10-22 18:00:00+00:00,open,BTC-23OCT25-105000-P,sell,4.9,0.0012,0.00588,0.00061269605,107837.76,634.08606,66.07177,120417.836,,0
57,96,95,2025-10-23 08:00:00+00:00,close,BTC-23OCT25-111000-C,buy,4.9,0.0,-0.0,0.0,109334.68,-0.0,0.0,120417.836,expiry,0
57,96,95,2025-10-23 08:00:00+00:00,close,BTC-23OCT25-105000-P,buy,4.9,0.0,-0.0,0.0,109334.68,-0.0,0.0,120417.836,expiry,0
57,97,97,2025-10-23 20:00:00+00:00,open,BTC-24OCT25-114000-C,sell,9.7,0.0003,0.00291,0.000303222,110149.38,320.53473,33.39972,120704.97,,0
57,97,97,2025-10-23 20:00:00+00:00,open,BTC-24OCT25-107000-P,sell,9.7,0.0006,0.00582,0.000606444,110149.38,641.06946,66.79944,121279.24,,0
57,98,97,2025-10-24 08:00:00+00:00,close,BTC-24OCT25-114000-C,buy,9.7,0.0,-0.0,0.0,111061.82,-0.0,0.0,121279.24,expiry,0
57,98,97,2025-10-24 08:00:00+00:00,close,BTC-24OCT25-107000-P,buy,9.7,0.0,-0.0,0.0,111061.82,-0.0,0.0,121279.24,expiry,0
57,99,99,2025-10-27 17:00:00+00:00,open,BTC-28OCT25-119000-C,sell,12.6,1e-04,0.0012599999,0.00013129199,115520.76,145.55615,15.166951,121409.63,,0
57,99,99,2025-10-27 17:00:00+00:00,open,BTC-28OCT25-112000-P,sell,12.6,1e-04,0.0012599999,0.00013129199,115520.76,145.55615,15.166951,121540.02,,0
57,100,99,2025-10-28 08:00:00+00:00,close,BTC-28OCT25-119000-C,buy,12.6,0.0,-0.0,0.0,114195.92,-0.0,0.0,121540.02,expiry,0
57,100,99,2025-10-28 08:00:00+00:00,close,BTC-28OCT25-112000-P,buy,12.6,0.0,-0.0,0.0,114195.92,-0.0,0.0,121540.02,expiry,0
57,101,101,2025-10-28 18:00:00+00:00,open,BTC-29OCT25-119000-C,sell,12.6,1e-04,0.0012599999,0.00013129199,115302.37,145.28098,15.138278,121670.164,,0
57,101,101,2025-10-28 18:00:00+00:00,open,BTC-29OCT25-112000-P,sell,12.6,0.0003,0.0037800001,0.00039387602,115302.37,435.84296,45.414837,122060.59,,0
57,102,101,2025-10-29 08:00:00+00:00,close,BTC-29OCT25-119000-C,buy,12.6,0.0,-0.0,0.0,113564.41,-0.0,0.0,122060.59,expiry,0
57,102,101,2025-10-29 08:00:00+00:00,close,BTC-29OCT25-112000-P,buy,12.6,0.0,-0.0,0.0,113564.41,-0.0,0.0,122060.59,expiry,0
57,103,103,2025-10-29 22:00:00+00:00,open,BTC-30OCT25-115000-C,sell,13.1,0.0002,0.00262,0.000273004,111589.38,292.36417,30.464348,122322.49,,0
57,103,103,2025-10-29 22:00:00+00:00,open,BTC-30OCT25-108000-P,sell,13.1,0.0003,0.00393,0.00040950603,111589.38,438.5463,45.696526,122715.34,,0
57,104,103,2025-10-30 08:00:00+00:00,close,BTC-30OCT25-115000-C,buy,13.1,0.0,-0.0,0.0,111333.3,-0.0,0.0,122715.34,expiry,0
57,104,103,2025-10-30 08:00:00+00:00,close,BTC-30OCT25-108000-P,buy,13.1,0.0,-0.0,0.0,111333.3,-0.0,0.0,122715.34,expiry,0
57,105,105,2025-10-30 22:00:00+00:00,open,BTC-31OCT25-111000-C,sell,6.5,0.0005,0.00325,0.00033865002,107850.96,350.51562,36.52373,123029.336,,0
57,105,105,2025-10-30 22:00:00+00:00,open,BTC-31OCT25-104000-P,sell,6.5,0.0009,0.00585,0.00060957,107850.96,630.9281,65.74271,123594.516,,0
57,106,105,2025-10-31 08:00:00+00:00,close,BTC-31OCT25-111000-C,buy,6.5,0.0,-0.0,0.0,109387.8,-0.0,0.0,123594.516,expiry,0
57,106,105,2025-10-31 08:00:00+00:00,close,BTC-31OCT25-104000-P,buy,6.5,0.0,-0.0,0.0,109387.8,-0.0,0.0,123594.516,expiry,0
57,107,107,2025-11-03 20:00:00+00:00,open,BTC-4NOV25-110000-C,sell,13.8,0.0002,0.0027599998,0.000287592,107133.53,295.68854,30.810745,123859.4,,0
57,107,107,2025-11-03 20:00:00+00:00,open,BTC-4NOV25-104000-P,sell,13.8,0.0003,0.0041400003,0.00043138803,107133.53,443.53284,46.21612,124256.71,,0
57,108,107,2025-11-04 08:00:00+00:00,close,BTC-4NOV25-110000-C,buy,13.8,0.0,-0.0,0.0,104475.69,-0.0,0.0,124256.71,expiry,0
57,108,107,2025-11-04 08:00:00+00:00,close,BTC-4NOV25-104000-P,buy,13.8,0.0,-0.0,0.0,104475.69,-0.0,0.0,124256.71,expiry,0
57,109,109,2025-11-05 19:00:00+00:00,open,BTC-6NOV25-108000-C,sell,14.3,1e-04,0.00143,0.000149006,104314.57,149.16983,15.543496,124390.336,,0
57,109,109,2025-11-05 19:00:00+00:00,open,BTC-6NOV25-101000-P,sell,14.3,0.0004,0.00572,0.000596024,104314.57,596.6793,62.173985,124924.84,,0
57,110,109,2025-11-06 08:00:00+00:00,close,BTC-6NOV25-108000-C,buy,14.3,0.0,-0.0,0.0,103104.47,-0.0,0.0,124924.84,expiry,0
57,110,109,2025-11-06 08:00:00+00:00,close,BTC-6NOV25-101000-P,buy,14.3,0.0,-0.0,0.0,103104.47,-0.0,0.0,124924.84,expiry,0
57,111,111,2025-11-06 22:00:00+00:00,open,BTC-7NOV25-104000-C,sell,9.9,0.0003,0.00297,0.000309474,101072.03,300.18396,31.279167,125193.75,,0
57,111,111,2025-11-06 22:00:00+00:00,open,BTC-7NOV25-98000-P,sell,9.9,0.0007,0.0069299997,0.00072210596,101072.03,700.42914,72.98472,125821.195,,0
57,112,111,2025-11-07 08:00:00+00:00,close,BTC-7NOV25-104000-C,buy,9.9,0.0,-0.0,0.0,101927.04,-0.0,0.0,125821.195,expiry,0
57,112,111,2025-11-07 08:00:00+00:00,close,BTC-7NOV25-98000-P,buy,9.9,0.0,-0.0,0.0,101927.04,-0.0,0.0,125821.195,expiry,0
57,113,113,2025-11-10 18:00:00+00:00,open,BTC-11NOV25-109000-C,sell,14.2,0.0002,0.00284,0.00029592798,105969.57,300.95358,31.359362,126090.79,,0
57,113,113,2025-11-10 18:00:00+00:00,open,BTC-11NOV25-103000-P,sell,14.2,0.0004,0.00568,0.00059185596,105969.57,601.90717,62.718723,126629.98,,0
57,114,113,2025-11-11 08:00:00+00:00,close,BTC-11NOV25-109000-C,buy,14.2,0.0,-0.0,0.0,104851.37,-0.0,0.0,126629.98,expiry,0
57,114,113,2025-11-11 08:00:00+00:00,close,BTC-11NOV25-103000-P,buy,14.2,0.0,-0.0,0.0,104851.37,-0.0,0.0,126629.98,expiry,0
57,115,115,2025-11-11 20:00:00+00:00,open,BTC-12NOV25-106000-C,sell,14.7,0.0002,0.00294,0.000306348,103038.68,302.93372,31.565693,126901.34,,0
57,115,115,2025-11-11 20:00:00+00:00,open,BTC-12NOV25-100000-P,sell,14.7,0.0003,0.00441,0.000459522,103038.68,454.4006,47.34854,127308.4,,0
57,116,115,2025-11-12 08:00:00+00:00,close,BTC-12NOV25-106000-C,buy,14.7,0.0,-0.0,0.0,103136.14,-0.0,0.0,127308.4,expiry,0
57,116,115,2025-11-12 08:00:00+00:00,close,BTC-12NOV25-100000-P,buy,14.7,0.0,-0.0,0.0,103136.14,-0.0,0.0,127308.4,expiry,0
57,117,117,2025-11-12 22:00:00+00:00,open,BTC-13NOV25-105000-C,sell,15.0,0.0002,0.003,0.0003126,101849.38,305.54813,31.838116,127582.11,,0
57,117,117,2025-11-12 22:00:00+00:00,open,BTC-13NOV25-99000-P,sell,15.0,0.0004,0.006,0.0006252,101849.38,611.09625,63.67623,128129.52,,0
57,118,117,2025-11-13 08:00:00+00:00,close,BTC-13NOV25-105000-C,buy,15.0,0.0,-0.0,0.0,103512.14,-0.0,0.0,128129.52,expiry,0
57,118,117,2025-11-13 08:00:00+00:00,close,BTC-13NOV25-99000-P,buy,15.0,0.0,-0.0,0.0,103512.14,-0.0,0.0,128129.52,expiry,0
57,119,119,2025-11-18 20:00:00+00:00,open,BTC-19NOV25-96000-C,sell,12.2,0.0003,0.0036600002,0.00038137203,93241.6,341.26428,35.55974,128435.234,,0
57,119,119,2025-11-18 20:00:00+00:00,open,BTC-19NOV25-90000-P,sell,12.2,0.0006,0.0073200003,0.00076274405,93241.6,682.52856,71.11948,129046.64,,0
57,120,119,2025-11-19 08:00:00+00:00,close,BTC-19NOV25-96000-C,buy,12.2,0.0,-0.0,0.0,91807.77,-0.0,0.0,129046.64,expiry,0
57,120,119,2025-11-19 08:00:00+00:00,close,BTC-19NOV25-90000-P,buy,12.2,0.0,-0.0,0.0,91807.77,-0.0,0.0,129046.64,expiry,0
57,121,121,2025-11-19 23:00:00+00:00,open,BTC-20NOV25-93000-C,sell,11.4,0.0004,0.00456,0.000475152,90510.84,412.72943,43.00641,129416.36,,0
57,121,121,2025-11-19 23:00:00+00:00,open,BTC-20NOV25-88000-P,sell,11.4,0.0006,0.0068400004,0.000712728,90510.84,619.0942,64.50961,129970.945,,0
57,122,121,2025-11-20 08:00:00+00:00,close,BTC-20NOV25-93000-C,buy,11.4,0.0,-0.0,0.0,92157.25,-0.0,0.0,129970.945,expiry,0
57,122,121,2025-11-20 08:00:00+00:00,close,BTC-20NOV25-88000-P,buy,11.4,0.0,-0.0,0.0,92157.25,-0.0,0.0,129970.945,expiry,0
57,123,123,2025-11-20 23:00:00+00:00,open,BTC-21NOV25-91000-C,sell,7.4,0.0004,0.00296,0.000308432,88045.58,260.6149,27.156073,130204.41,,0
57,123,123,2025-11-20 23:00:00+00:00,open,BTC-21NOV25-85500-P,sell,7.4,0.0012,0.008880001,0.00092529604,88045.58,781.8448,81.46822,130904.78,,0
57,124,123,2025-11-21 07:35:00+00:00,close,BTC-21NOV25-91000-C,buy,7.4,1e-04,-0.00074,7.7108e-05,83703.97,-61.940937,6.4542456,130836.39,strike_proximity_stop,0
57,124,123,2025-11-21 07:35:00+00:00,close,BTC-21NOV25-85500-P,buy,7.4,1e-04,-0.00074,7.7108e-05,83703.97,-61.940937,6.4542456,130767.99,strike_proximity_stop,0
57,125,125,2025-11-24 20:00:00+00:00,open,BTC-25NOV25-92000-C,sell,13.2,1e-04,0.0013199999,0.00013754399,88382.17,116.66447,12.156437,130872.5,,0
57,125,125,2025-11-24 20:00:00+00:00,open,BTC-25NOV25-86000-P,sell,13.2,0.0008,0.010559999,0.0011003519,88382.17,933.31573,97.251495,131708.56,,0
57,126,125,2025-11-25 08:00:00+00:00,close,BTC-25NOV25-92000-C,buy,13.2,0.0,-0.0,0.0,87371.71,-0.0,0.0,131708.56,expiry,0
57,126,125,2025-11-25 08:00:00+00:00,close,BTC-25NOV25-86000-P,buy,13.2,0.0,-0.0,0.0,87371.71,-0.0,0.0,131708.56,expiry,0
57,127,127,2025-11-25 18:00:00+00:00,open,BTC-26NOV25-90000-C,sell,10.0,0.0004,0.0039999997,0.0004168,87572.13,350.2885,36.500065,132022.36,,0
57,127,127,2025-11-25 18:00:00+00:00,open,BTC-26NOV25-85000-P,sell,10.0,0.0008,0.007999999,0.0008336,87572.13,700.577,73.00013,132649.94,,0
