date,nav_open,nav_high,nav_low,nav_close,nav_close_realized,return_pct,drawdown_pct,active_slots,eod_slot
2025-10-13,107904.61186000005,108234.79713000005,107620.05213000005,108253.47713000004,108234.57713000005,8.2535,-2.2403,"A,B",A
2025-10-14,108253.47713000004,108425.16568000005,106680.90568000005,107641.97768000004,107686.79068000005,7.642,-3.0934,A,A
2025-10-15,107641.97768000004,108125.33418000005,107416.04618000005,108179.48218000005,108077.63418000005,8.1795,-2.4256,A,A
2025-10-16,108179.48218000005,108504.98448000004,108102.23448000004,108497.21748000005,108468.45948000005,8.4972,-1.8023,A,A
2025-10-17,108497.21748000005,108864.79128000005,108358.40128000005,109169.97188000006,108864.79128000005,9.17,-1.5696,"A,C",C
2025-10-18,109169.97188000006,109232.77293000005,109169.45293000004,109232.77293000005,109232.77293000005,9.2328,-0.8328,C,
2025-10-19,109232.77293000005,109232.77293000005,109232.77293000005,109232.77293000005,109232.77293000005,9.2328,-0.7753,,
2025-10-20,109232.77293000005,109481.74450000004,108958.21950000004,109426.77600000004,109454.25950000004,9.4268,-1.0247,"A,B",A
2025-10-21,109426.77600000004,109692.27441000004,108141.23191000005,109692.27441000004,109692.27441000004,9.6923,-1.7668,A,
2025-10-22,109692.27441000004,109692.27441000004,109288.31941000004,109758.44041000004,109692.27441000004,9.7584,-0.7248,A,A
2025-10-23,109758.44041000004,110092.75231000004,109617.53731000004,110196.18031000004,110092.62731000004,10.1962,-0.4316,A,A
2025-10-24,110196.18031000004,110496.68841000005,109927.89091000005,110815.36236000004,110496.68841000005,10.8154,-0.5148,"A,C",C
2025-10-25,110815.36236000004,110867.52813000005,110763.02563000005,110867.52813000005,110867.52813000005,10.8675,-0.0943,C,
2025-10-26,110867.52813000005,110867.52813000005,110867.52813000005,110867.52813000005,110867.52813000005,10.8675,-0.0,,
2025-10-27,110867.52813000005,110948.24813000005,110730.86813000005,110786.80513000005,110867.52813000005,10.7868,-0.1959,A,A
2025-10-28,110786.80513000005,110988.91812000005,110719.47612000004,110988.91812000005,110988.91812000005,10.9889,-0.2428,A,
2025-10-29,110988.91812000005,111758.60512000005,110855.96312000006,110219.23012000005,110988.91812000005,10.2192,-0.8077,A,A
2025-10-30,110219.23012000005,111294.71402000006,107991.55402000005,111407.14502000005,111293.80152000005,11.4071,-3.3707,A,A
2025-10-31,111407.14502000005,111699.61267000005,110667.04267000005,112022.27287000004,111699.57567000005,12.0223,-0.9767,"A,C",C
2025-11-01,112022.27287000004,112074.32292000005,112022.24292000005,112074.32292000005,112074.32292000005,12.0743,-0.0465,C,
2025-11-02,112074.32292000005,112074.32292000005,112074.32292000005,112074.32292000005,112074.32292000005,12.0743,-0.0,,
2025-11-03,112074.32292000005,112251.32518000006,111811.54018000005,112139.30018000005,112186.16518000005,12.1393,-0.3918,"A,B",A
2025-11-04,112139.30018000005,112598.02058000005,110418.45308000005,112598.02058000005,112598.02058000005,12.598,-1.9357,A,
2025-11-05,112598.02058000005,112627.56808000006,112320.82558000006,112568.47508000006,112598.02058000005,12.5685,-0.2724,A,A
2025-11-06,112568.47508000006,112847.40578000006,112316.56078000006,112890.61228000006,112846.86828000005,12.8906,-0.4704,A,A
2025-11-07,112890.61228000006,113263.35378000005,112227.74628000005,113338.44828000004,113263.35378000005,13.3384,-0.9143,"A,C",C
