combo_idx,date,nav_low,nav_high,nav_close,realized_close
183,2025-08-19,104091.52,104091.52,104091.52,4091.5232
183,2025-08-20,104091.52,104091.52,104091.52,4091.5232
183,2025-08-21,104091.52,104091.52,104091.52,4091.5232
183,2025-08-22,103515.02,104636.43,104636.43,4091.5232
183,2025-08-23,104511.69,104761.46,104761.46,4761.458
183,2025-08-24,104761.46,104761.46,104761.46,4761.458
183,2025-08-25,104761.46,104761.46,104761.46,4761.458
183,2025-08-26,104761.46,104761.46,104761.46,4761.458
183,2025-08-27,104761.46,104761.46,104761.46,4761.458
183,2025-08-28,104761.46,104761.46,104761.46,4761.458
183,2025-08-29,104344.81,104847.78,104721.95,4761.458
183,2025-08-30,104722.484,105099.47,105099.47,5099.4697
183,2025-08-31,105099.47,105099.47,105099.47,5099.4697
183,2025-09-01,105099.47,105099.47,105099.47,5099.4697
183,2025-09-02,105099.47,105099.47,105099.47,5099.4697
183,2025-09-03,105099.47,105099.47,105099.47,5099.4697
183,2025-09-04,105099.47,105099.47,105099.47,5099.4697
183,2025-09-05,104655.38,105538.234,105538.21,5099.4697
183,2025-09-06,105537.61,105664.38,105664.38,5664.381
183,2025-09-07,105664.38,105664.38,105664.38,5664.381
183,2025-09-08,105664.38,105664.38,105664.38,5664.381
183,2025-09-09,105664.38,105664.38,105664.38,5664.381
183,2025-09-10,105664.38,105664.38,105664.38,5664.381
183,2025-09-11,105664.38,105664.38,105664.38,5664.381
183,2025-09-12,105105.82,105877.26,105749.414,5664.381
183,2025-09-13,105748.97,106004.86,106004.86,6004.863
183,2025-09-14,106004.86,106004.86,106004.86,6004.863
183,2025-09-15,106004.86,106004.86,106004.86,6004.863
183,2025-09-16,106004.86,106004.86,106004.86,6004.863
183,2025-09-17,106004.86,106004.86,106004.86,6004.863
183,2025-09-18,106004.86,106004.86,106004.86,6004.863
183,2025-09-19,105327.75,106220.305,106220.164,6004.863
183,2025-09-20,106220.04,106347.38,106347.38,6347.385
183,2025-09-21,106347.38,106347.38,106347.38,6347.385
183,2025-09-22,106347.38,106347.38,106347.38,6347.385
183,2025-09-23,106347.38,106347.38,106347.38,6347.385
183,2025-09-24,106347.38,106347.38,106347.38,6347.385
183,2025-09-25,106347.38,106347.38,106347.38,6347.385
183,2025-09-26,106038.945,106804.68,106804.68,6347.385
183,2025-09-27,106804.68,106804.68,106804.68,6804.679
183,2025-09-28,106804.68,106804.68,106804.68,6804.679
183,2025-09-29,106804.68,106804.68,106804.68,6804.679
183,2025-09-30,106804.68,106804.68,106804.68,6804.679
183,2025-10-01,106804.68,106804.68,106804.68,6804.679
